,,Name,Type,Value,
,,Project,Dropdown,User to see only the projects mapped to team.,
,,Vertical Name,Dropdown,User to see only the verticals mapped to team.,
,,Budget Head,Dropdown,L2 From Vertical Name,
,,Vendor Name,Dropdown,,
,,Start Date,Date,,
,,End Date,Date,,
,,Requested Parameter,String,,
,,Description (Kindly Elaborate on the requirement),String,,
,,,,,
,,Hidden Fields,,,
Vertical Name,Budget Head,,,,
Channel Partner,Telecallers,Period,Dropdown,"Daily, Monthly",
,Cars for Market,Period,Dropdown,"Daily, Monthly",
Presales,Contact Centre,Period,Dropdown,"Daily, Monthly",
Events,,Event Type,Dropdown,"CP Meet, JBP Meet, CP Success Meet",
Site Admin (Only visible when user is admin),Site Manpower,Sub-budget head,Dropdown,"Hostess, Evangilist, Site Executive, Pantry boy, Buttler, OLA Desk, Biker, Valet, Office Boy, Housekeeping, Bouncer, runner Boy",
,,,,,
,,,,,
Same screen for budget adjustment only appears when user is site admin,,,,,
